,,,,,,,,,,,,,,,,
,ARTÍCULOS VENDIDOS,,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL,
,,,,,,,,,,,,,,,,
,LAVADORAS,,,,,,,,,,,,,,,
,ECCLH18520,FRIGORÍFICO 1P CORBERÓ,1,"  376,47 € ","  376,47 € ","  475,11 € ","  593,88 € ","  569,41 € ","  560,00 € ",,,,,"  84,89 € ","  84,89 € ",
,TTBHW8548,1P. TABLE TOP BENAVENT,5,"  106,45 € ","  106,45 € ","  134,34 € ","  167,92 € ","  182,61 € ","  159,00 € ",,5,0,,"  24,66 € ","  123,30 € ",1 puesto para tienda
3ºCAMION,CBM185EW,COMBI BENAVENT NF 185X60 BLANCO,7,"  225,81 € ","  225,81 € ","  284,97 € ","  356,22 € ","  387,35 € ","  359,00 € ",,7,0,,"  74,03 € ","  518,19 € ",
,CCH1821EX,"COMBI CORBERO ESTATICO 1,80",1,"  231,76 € ","  218,06 € ","  275,20 € ","  343,99 € ","  373,91 € ","  359,00 € ",,,,,"  83,80 € ","  83,80 € ",
,CCH200533NFX,COMBI CORBERÓ 2M ACERO INOX,1,"  351,76 € ","  351,76 € ","  443,92 € ","  554,90 € ","  548,84 € ","  559,00 € ",,,,,"  115,08 € ","  115,08 € ",
3ºCAMION,ECF2PH14320W,FRIGO 2 PUERTAS ESTATICO 143X55,3,"  139,78 € ","  139,78 € ","  176,40 € ","  220,50 € ","  231,32 € ","  239,00 € ",,3,0,,"  62,60 € ","  187,79 € ",
,CBM185EW,COMBI BENAVENT 185X60 NF,6,"  256,10 € ","  240,96 € ","  304,10 € ","  380,12 € ","  413,17 € ","  369,00 € ",,6,0,,"  64,90 € ","  389,42 € ",
,CCH200533NFW,COMBI CORBERÓ 2M BLANCO,1,"  328,24 € ","  328,24 € ","  414,24 € ","  517,80 € ","  529,56 € ","  529,00 € ",,,,,"  114,76 € ","  114,76 € ",
,CCH322EW,"COMBI CORBERO 1,86M BLANCO",6,"  286,02 € ","  286,02 € ","  360,96 € ","  451,20 € ","  440,14 € ","  399,00 € ",,6,0,,"  38,04 € ","  228,26 € ",
3ºCAMION,CCHGL185NFN,COMBI CORBERÓ CRISTAL NEGRO,2,"  404,30 € ","  404,30 € ","  510,23 € ","  637,78 € ","  669,06 € ","  629,00 € ",,2,0,,"  118,77 € ","  237,55 € ",
3ºCAMION,CFSBSH730NFX,AMERICANO INOX 177X91CM,3,"  376,34 € ","  376,34 € ","  474,94 € ","  593,68 € ","  622,80 € ","  599,00 € ",,3,0,,"  124,06 € ","  372,18 € ",
,CCE3T618FW,"COMBI CANDY BLANCO 1,85MM",1,"  331,55 € ","  331,55 € ","  418,42 € ","  523,02 € ","  501,47 € ","  489,00 € ",,1,0,,"  70,58 € ","  70,58 € ",
3ºCAMION,ECF1PH859W,FRIGO PEQUEÑO 1P. 102L,3,"  107,53 € ","  107,53 € ","  135,70 € ","  169,63 € ","  177,94 € ","  169,00 € ",,3,0,,"  33,30 € ","  99,89 € ",
3ºCAMION,CCH322EX,COMBI CORBERÓ 186X60X60 INOX,7,"  247,31 € ","  247,31 € ","  312,11 € ","  390,13 € ","  482,22 € ","  409,00 € ",,6,1,,"  96,89 € ","  678,26 € ",
,RQ515N4AC2,FRIGORIFICO AMERICANO HISENSE,1,"  582,29 € ","  582,29 € ","  734,85 € ","  918,56 € ","  907,95 € ","  749,00 € ",849,,,,"  14,15 € ","  14,15 € ",REBAJADO
